vol,kod_kawasan,negeri,kawasan,uid,new_id,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,remark
12,P115,WP Kuala Lumpur,Batu,2789,65,Y.B. Tuan,Chua Tian Chang,1964,male,chinese,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P115-BATU.jpg,
12,P116,WP Kuala Lumpur,Wangsa Maju,1804,17,Y.B. Tuan,Wee Choo Keong,1953,male,chinese,PKR > BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P116-WGSMAJU.jpg,
12,P117,WP Kuala Lumpur,Segambut,3456,176,Y.B. Tuan,Lim Lip Eng,1972,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P117-SEGAMBUT.jpg,
12,P118,WP Kuala Lumpur,Setiawangsa,3457,177,Y.B. Dato' Sri Haji,Zulhasnan bin Rafique,1955,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/SETIAWANGSA.JPG,
12,P119,WP Kuala Lumpur,Titiwangsa,3460,178,Y.B. Dr. (Meninggal Dunia),Lo' Lo' binti Hj Mohamad Ghazali,1958,female,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P119-TITIWANGSA.jpg,death
12,P119,WP Kuala Lumpur,Titiwangsa,9999999,573,,,,,,PAS,,,,kosong
12,P120,WP Kuala Lumpur,Bukit Bintang,2128,29,Y.B. Tuan,Fong Kui Lun,1946,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P120-BKTBINTANG.jpg,
12,P121,WP Kuala Lumpur,Lembah Pantai,3464,179,Y.B. Puan,Nurul Izzah binti Anwar,1980,female,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P121-LMBHPANTAI.jpg,
12,P122,WP Kuala Lumpur,Seputeh,2769,63,Y.B. Puan,Teresa Kok Suh Sim,1964,female,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P122-SEPUTEH1.jpg,
12,P123,WP Kuala Lumpur,Cheras,1825,18,Y.B. Tuan,Tan Kok Wai,1957,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P123-CHERAS.jpg,
