vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,remarks,id
1,P083,Negeri Sembilan,Jelebu,Tuan,Mohamed Bin Ujang,,male,bumiputera,Perikatan - UMNO,,,,,547
1,P064,Pahang,Lipis,,Abdul Razak Hussin,,male,bumiputera,Perikatan - UMNO,,,,,64
1,P054,Perak,Hilir Perak,Tuan,Mohamed Abbas Bin Ahmad,,male,bumiputera,Perikatan - UMNO,,,,,537
1,P022,Kelantan,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,,male,bumiputera,PAS,,,,,540
1,P065,Selangor,Kuala Selangor,Tuan,Mohamed Dahari Bin Haji Mohd. Ali,,male,bumiputera,Perikatan - UMNO,,,,,549
1,P039,Perak,Ulu Perak,Tuan,Mohamed Nor Bin Mohd. Dahan,,male,bumiputera,Perikatan - UMNO,,,,,563
1,P021,Kelantan,Pasir Mas Hulu,Dato',Mohamed Hanifah Bin Haji Abdul Ghani,,male,bumiputera,PAS,,,,,552
1,P010,Kedah,Jerai,Tuan,Mohamed Ismail Bin Mohd. Yusof,,male,bumiputera,Perikatan - UMNO,,,,,555
1,P064,Pahang,Lipis,Tuan,Mohamed Sulong Bin Mohd. Ali,,male,bumiputera,Perikatan - UMNO,,,,death,569
1,P063,Pahang,Temerloh,Tuan,Mohamed Yusof Bin Mahmud,,male,bumiputera,Perikatan - UMNO,,,,,575
1,P002,Perlis,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,,male,bumiputera,Perikatan - UMNO,,,,,631
1,P017,Kelantan,Pasir Mas Hilir,Tuan,Nik Man Bin Nik Mohamed,,male,bumiputera,PAS,,,,,675
1,P066,Selangor,Batu,Tuan,Ng Ann Teck,,male,chinese,BS - Buruh,,,,,658
1,P027,Terengganu,Kuala Terengganu Selatan,Dato',Onn Bin Jaafar,,male,bumiputera,Negara,,,,death,692
1,P023,Kelantan,Tanah Merah,Tuan,Othman Bin Haji Abdullah,,male,bumiputera,PAS,,,,,699
1,P001,Perlis,Perlis Utara,Tuan,Othman Bin Abdullah,,male,bumiputera,Perikatan - UMNO,,,,,698
1,P084,Negeri Sembilan,Seremban Barat,Tuan,Quek Kai Dong,,male,chinese,Bebas,,,,,722
1,P081,Negeri Sembilan,Rembau,Tuan Haji,Redza Bin Haji Mohd. Said,,male,bumiputera,Perikatan - UMNO,,,,,751
1,P091,Johor,Muar Pantai,Tuan,Seah Teng Ngiab,,male,chinese,Perikatan - MCA,,,,,793
1,P050,Perak,Ipoh,Tuan,D.R Seenivasagam,,male,indian,PPP,,,,,227
1,P051,Perak,Menglembu,Tuan,S.P Seenivasagam,,male,indian,PPP,,,,,766
1,P094,Johor,Batu Pahat Dalam,Tuan,Syed Esa Bin Alwee,,male,bumiputera,Perikatan - UMNO,,,,,842
1,P077,Selangor,Sabak Bernam,Tuan,Syed Hashim Bin Syed Ajam,,male,bumiputera,Perikatan - UMNO,,,,,844
1,P096,Johor,Johor Tenggara,Tuan,Syed Ja'afar Bin Hasan Albar,,male,bumiputera,Perikatan - UMNO,,,,,847
1,P042,Perak,Larut Utara,Tuan,Tajudin Bin Ali,,male,bumiputera,Perikatan - UMNO,,,,,856
1,P031,Pulau Pinang,Bagan,Tuan,Tan Cheng Bee,,male,chinese,Perikatan - MCA,,,,,861
1,P086,Melaka,Bandar Melaka,Tuan,Tan Kee Gak,,male,chinese,Malaya,,,,,863
1,P036,Pulau Pinang,Tanjong,Tuan,Tan Phock Kin,,male,chinese,BS - Buruh,,,,,869
1,P014,Kedah,Kulim,Tuan,Tan Tye Chek,,male,chinese,Perikatan - MCA,,,,,875
1,P024,Kelantan,Ulu Kelantan,Tengku,Indra Petra Bin Sultan Ibrahim,,male,bumiputera,Perikatan - UMNO,,,,,347
1,P092,Johor,Muar Selatan,,Awang Hassan,,male,bumiputera,Perikatan - UMNO,,,,,148
1,P090,Johor,Segamat Selatan,Dato',Teoh Chze Chong,,male,chinese,Perikatan - MCA,,,,,881
1,P033,Pulau Pinang,Seberang Selatan,Tuan,V.Veerappen,,male,indian,BS - Buruh,,,,,908
1,P016,Kelantan,Kelantan Hilir,Tuan,Wan Mustapha Bin Haji Ali,,male,bumiputera,PAS,,,,,929
1,P008,Kedah,Kota Star Selatan,Tuan,Wan Sulaiman Bin Wan Tam,,male,bumiputera,Perikatan - UMNO,,,,,933
1,P029,Terengganu,Kemaman,Tuan,Wan Yahya Bin Haji Wan Mohamed,,male,bumiputera,Perikatan - UMNO,,,,,934
1,P055,Perak,Telok Anson,Tuan,Woo Saik Hong,,male,chinese,Perikatan - MCA,,,,death,948
1,P056,Perak,Bagan Datoh,Tuan,Yahya Bin Haji Ahmad,,male,bumiputera,Perikatan - UMNO,,,,,951
1,P044,Perak,Bruas,Tuan,Yeoh Tat Beng,,male,chinese,Bebas,,,,,960
1,P100,Johor,Johor Bahru Timur,,Mohamed Noah Omar,,male,bumiputera,Perikatan - UMNO,,,,,561
1,P045,Perak,Sitiawan,Tuan,Yong Woo Ming,,male,chinese,Perikatan - MCA,,,,,970
1,P098,Johor,Pontian Selatan,Puan Hajah,Zain Binti Sulaiman,,female,bumiputera,Perikatan - UMNO,,,,,979
1,P069,Selangor,Langat,Tuan Haji,Zakaria bin Haji Mohd. Taib,,male,bumiputera,Perikatan - UMNO,,,,,988
1,P019,Kelantan,Bachok,Tuan,Zulkiflee bin Muhammad,,male,bumiputera,PAS,,,,,994
2,P094,Johor,Batu Pahat Dalam,Tuan,Syed Esa Bin Alwee,,male,bumiputera,Perikatan - UMNO,,Yang Dipertua Dewan Rakyat,,,842
2,P007,Kedah,Kuala Kedah,Y.T.M. Tunku,Abdul Rahman Putra Al Haj,,male,bumiputera,Perikatan - UMNO,Perdana Menteri,,,,57
2,P062,Pahang,Pekan,Y.A.B. Tun Haji,Abdul Razak Bin Dato' Hussain,,male,bumiputera,Perikatan - UMNO,Timbalan Perdana Menteri,,,,63
2,P102,Johor,Johor Timur,Dato' Dr.,Ismail Bin Dato' Haji Abdul Rahman,,male,bumiputera,Perikatan - UMNO,,,,,351
2,P085,Melaka,Melaka Tengah,Tuan,Tan Siew Sin,,male,chinese,Perikatan - MCA,,,,,871
2,P046,Perak,Sungai Siput,Dato',V. T. Sambanthan,,male,indian,Perikatan - MIC,,,,,907
2,P097,Johor,Pontian Utara,Dato' Haji,Sardon Bin Haji Jubir,,male,bumiputera,Perikatan - UMNO,,,,,789
2,P079,Negeri Sembilan,Kuala Pilah,Tuan,Bahaman Bin Samsudin,,male,bumiputera,Perikatan - UMNO,,,,,162
2,P061,Pahang,Kuantan,Tuan,Abdul Rahman Bin Haji Talib,,male,bumiputera,Perikatan - UMNO,,,,death,52
2,P043,Perak,Larut Selatan,Dr.,Lim Swee Aun,,male,chinese,Perikatan - MCA,,,,,476
2,P057,Perak,Batang Padang,Tuan Haji,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,,male,bumiputera,Perikatan - UMNO,,,,,31
2,P078,Selangor,Ulu Selangor,Tuan,Khaw Kai Boh,,male,chinese,Perikatan - MCA,,,,,419
2,,Sarawak,Sarawak,Dato' Temenggong,Jugah Anak Barieng,,male,bumiputera,PESAKA,,,,,388
2,P074,Selangor,Klang,Tuan,V. Manickavasagam,,male,indian,Perikatan - MIC,,,,,906
2,P004,Kedah,Kubang Pasu Barat,Tuan,Senu Bin Abdul Rahman,,male,bumiputera,Perikatan - UMNO,,,,,795
2,P016,Kelantan,Kelantan Hilir,,Nik Abdul Aziz Bin Nik Mat,,male,bumiputera,PAS,,,,,670
2,P009,Kedah,Kedah Tengah,Tuan,Mohamed Khir Bin Johari,,male,bumiputera,Perikatan - UMNO,,,,,558
2,P005,Kedah,Kota Star Utara,Tuan Haji,Abdul Khalid Bin Awang Osman,,male,bumiputera,Perikatan - UMNO,,,,,38
2,P039,Perak,Ulu Perak,Tuan,Mohamed Ghazali Bin Haji Jawi,,male,bumiputera,Perikatan - UMNO,,,,,551
2,P019,Kelantan,Bachok,,Abu Bakar Hamzah,,male,bumiputera,PAS,,,,,87
2,P019,Kelantan,Bachok,,Zulkiflee Muhammad,,male,bumiputera,PAS,,,,death,994
2,,Sarawak,Sarawak,Tuan,Abdul Rahman Bin Ya'kub,,male,bumiputera,BARJASA,,,,,55
2,P021,Kelantan,Pasir Mas Hulu,Tengku,Zaid Bin Tengku Ahmad,,male,bumiputera,PAS,,,,,978
2,P056,Perak,Bagan Datoh,Tuan,Sulaiman Bin Bulon,,male,bumiputera,Perikatan - UMNO,,,,,833
2,P030,Terengganu,Terengganu Tengah,,Engku Muhsein Bin Abdul Kadir,,male,bumiputera,Perikatan - UMNO,,,,,247
2,P076,Selangor,Sepang,Tuan,Lee Siok Yew,,male,chinese,Perikatan - MCA,,,,,447
2,P087,Melaka,Melaka Utara,Tuan,Abdul Ghani Bin Ishak,,male,bumiputera,Perikatan - UMNO,,,,,19
2,P088,Melaka,Melaka Selatan,Tuan,Abdul Karim Bin Abu,,male,bumiputera,Perikatan - UMNO,,,,,37
2,P026,Terengganu,Kuala Terengganu Utara,Tuan,Wan Abdul Kadir Bin Ismail,,male,bumiputera,Perikatan - UMNO,,,,,915
2,,Singapore,Singapore,Tuan,Abdul Rahim Ishak,,male,bumiputera,PETIR,,,,,47
2,,Sarawak,Sarawak,Tuan,Wan Abdul Rahman Bin Datu Tuanku Bujang,,male,bumiputera,,,,,,916
2,,Sabah,Sabah,Tuan Haji,Abdul Rashid Bin Haji Jais,,male,bumiputera,USNO,,,,,59
2,P040,Perak,Krian Laut,Tuan,Abdul Rauf Bin A. Rahman,,male,bumiputera,Perikatan - UMNO,,,,death,61
2,P064,Pahang,Lipis,Tuan,Abdul Razak Bin Haji Hussin,,male,bumiputera,Perikatan - UMNO,,,,,64
2,P021,Kelantan,Pasir Mas Hulu,Tuan,Abdul Samad Bin Gul Ahmad Mianji,,male,bumiputera,PAS,,,,death,65
2,P033,Pulau Pinang,Seberang Selatan,,Snawi Ismail,,male,bumiputera,Perikatan - UMNO,,,,,821
2,P027,Terengganu,Kuala Terengganu Selatan,Dato',Abdullah Bin Abdulrahman,,male,bumiputera,Perikatan - UMNO,,,,,73
2,,,,Y.A.M. Tunku,Abdullah Ibni AlMarhum Tuanku Abdul Rahman,,male,bumiputera,,,,,,57
2,P103,Johor,Segamat Utara,Tuan Haji,Abdullah Bin Haji Mohd. Salleh,,male,bumiputera,Perikatan - UMNO,,,,death,77
2,P016,Kelantan,Kelantan Hilir,Tuan Haji,Ahmad Bin Abdullah,,male,bumiputera,PAS,,,,death,99
2,P104,Johor,Muar Utara,Tuan,Ahmad Bin Arshad,,male,bumiputera,Perikatan - UMNO,,,,,100
2,P038,Pulau Pinang,Seberang Utara,Tuan Haji,Ahmad Bin Saaid,,male,bumiputera,Perikatan - UMNO,,,,,106
2,,Sarawak,Sarawak,Puan,Ajibah Binti Abol,,female,bumiputera,BARJASA,,,,,123
2,P040,Perak,Krian Laut,,Sulaiman Taib,,male,bumiputera,Perikatan - UMNO,,,,,835
2,P098,Johor,Pontian Selatan,Tuan,Ali Bin Haji Ahmad,,male,bumiputera,Perikatan - UMNO,,,,,129
2,,Sabah,Sabah,O.K.K. Datu,Aliuddin Bin Datu Harun,,male,bumiputera,USNO,,,,,131
2,P092,Johor,Muar Selatan,Dr.,Awang Bin Hassan,,male,bumiputera,Perikatan - UMNO,,,,,148
2,P089,Johor,Muar Dalam,Tuan,Aziz Bin Ishak,,male,bumiputera,Perikatan - UMNO,,,,,156
2,P044,Perak,Bruas,,Chew Biow Chuon,,male,chinese,Perikatan - MCA,,,,,201
2,,Sarawak,Sarawak,Tuan,Jonathan Bangau Anak Renang,,male,bumiputera,,,,,,380
2,,Sarawak,Sarawak,Pengarah,Banyang Anak Janting,,male,bumiputera,,,,,,167
2,P099,Johor,Kluang Selatan,Tuan,Chan Chong Wen,,male,chinese,Perikatan - MCA,,,,,182
2,P070,Selangor,Setapak,Tuan,Chan Seong Yoon,,male,chinese,Perikatan - MCA,,,,,187
2,P060,Pahang,Bentong,Tuan,Chan Siang Sun,,male,chinese,Perikatan - MCA,,,,,188
2,P073,Selangor,Damansara,Tuan,Chen Wing Sum,,male,chinese,Perikatan - MCA,,,,,200
2,,Sarawak,Sarawak,Tuan,Chia Chin Shin,,male,chinese,SCA,,,,,204
2,,Sabah,Sabah,Tuan,Francis Chia Nyuk Tong,,male,chinese,,,,,,261
2,,Singapore,Singapore,Tuan,Chia Thye Poh,,male,chinese,BS,,,,,206
2,P049,Perak,Ulu Kinta,Tuan,Chin Foon,,male,chinese,Perikatan - MCA,,,,,212
2,P071,Selangor,Bungsar,Tuan,C. V. Devan Nair,,male,indian,PETIR > DAP,,,,,180
2,,Sarawak,Sarawak,Tuan,Edwin Anak Tangkun,,male,bumiputera,,,,,,243
2,P100,Johor,Johor Bharu Timur,Datin,Fatimah Binti Haji Abdul Majid,,female,bumiputera,Perikatan - UMNO,,,,,253
2,P003,Kedah,Jitra,Datin,Fatimah Binti Haji Hashim,,female,bumiputera,Perikatan - UMNO,,,,,254
2,,Sabah,Sabah,Tuan,S. Fazul Rahman,,male,bumiputera,,,,,,765
2,P059,Pahang,Raub,,Hamzah Abu Samah,,male,bumiputera,Perikatan - UMNO,,,,,284
2,,Sabah,Sabah,Datu,Ganie Gilong,,male,bumiputera,,,,,,267
2,,Singapore,Singapore,Dr.,Goh Keng Swee,,male,chinese,PETIR,,,,,278
2,P061,Pahang,Kuantan,,Mohamed Taib,,male,bumiputera,Perikatan - UMNO,,,,,570
2,,Sabah,Sabah,Tuan,Ganing Bin Jangkat,,male,bumiputera,,,,,,268
2,P034,Pulau Pinang,Penang Utara,Tuan,Geh Chong Keat,,male,chinese,Perikatan - MCA,,,,,269
2,P067,Selangor,Kapar,Tuan,Hamzah Bin Alang,,male,bumiputera,Perikatan - UMNO,,,,,285
2,P013,Kedah,Kulim Utara,Tuan,Hanafi Bin Mohd. Yunus,,male,bumiputera,Perikatan - UMNO,,,,,289
2,P010,Kedah,Jerai,Tuan,Hanafiah Bin Hussain,,male,bumiputera,Perikatan - UMNO,,,,,291
2,P011,Kedah,Baling,Tuan,Harun Bin Abdullah,,male,bumiputera,Perikatan - UMNO,,,,,294
2,P015,Kelantan,Tumpat,Tuan,Wan Hassan Bin Wan Daud,,male,bumiputera,PAS,,,,,924
2,,Singapore,Singapore,Tuan,Ho See Beng,,male,chinese,PETIR,,,,death,321
2,,Sabah,Sabah,Tuan,Stanley Ho Ngun Khiu,,male,chinese,,,,,,825
2,P059,Pahang,Raub,Tuan,Hussein Bin To' Muda Hassan,,male,bumiputera,Perikatan - UMNO,,,,death,337
2,P048,Perak,Parit,Tuan,Hussein Bin Mohd. Noordin,,male,bumiputera,Perikatan - UMNO,,,,,335
2,P024,Kelantan,Ulu Kelantan,Tuan,Hussein Bin Sulaiman,,male,bumiputera,Perikatan - UMNO,,,,,336
2,P020,Kelantan,Kota Bharu Hulu,Tuan Haji,Hussain Rahimi Bin Haji Saman,,male,bumiputera,PAS,,,,,331
2,,Sarawak,Sarawak,Tuan,Ikhwan Zaini,,male,bumiputera,,,,,,345
2,P032,Pulau Pinang,Seberang Tengah,Tuan,Ibrahim Bin Abdul Rahman,,male,bumiputera,Perikatan - UMNO,,,,,333
2,P035,Pulau Pinang,Penang Selatan,Tuan,Ismail Bin Idris,,male,bumiputera,Perikatan - UMNO,,,,,354
2,P096,Johor,Johor Tenggara,Tuan,Syed Ja'afar Bin Hasan Albar,,male,bumiputera,Perikatan - UMNO,,,,,847
2,,Singapore,Singapore,Tuan,Jek Yeun Thong,,male,chinese,PETIR,,,,,373
2,,Sarawak,Sarawak,Penghulu,Jinggut Anak Attan,,male,bumiputera,,,,,,377
2,,Sarawak,Sarawak,Tuan,Kadam Anak Kiai,,male,bumiputera,,,,,,398
2,P045,Perak,Sitiawan,Tuan,Kam Woon Wah,,male,chinese,Perikatan - MCA,,,,,401
2,,Sarawak,Sarawak,Tuan,Khoo Peng Loong,,male,chinese,,,,,,421
2,,Sabah,Sabah,Datu,Khoo Siak Chiew,,male,chinese,SCA,,,,,422
2,,Singapore,Singapore,Tuan,Kow Kee Seng,,male,chinese,BS,,,,,427
2,,Sarawak,Sarawak,Tuan,Edmund Langgu Anak Saga,,male,bumiputera,,,,,,241
2,,Singapore,Singapore,Tuan,Lee Kuan Yew,,male,chinese,PETIR,,,,,443
2,P090,Johor,Segamat Selatan,Tuan,Lee San Choon,,male,chinese,Perikatan - MCA,,,,,445
2,P058,Perak,Tanjung Malim,Tuan,Lee Seck Fun,,male,chinese,Perikatan - MCA,,,,,446
2,,Sabah,Sabah,Tuan,Amadeus Mathew Leong,,male,bumiputera,,,,,,133
2,,Sarawak,Sarawak,Tuan,Ling Beng Siew,,male,chinese,,,,,,477
2,P036,Pulau Pinang,Tanjong,Dr.,Lim Chong Eu,,male,chinese,UDP,,,,,460
2,,Singapore,Singapore,Tuan,Lim Huan Boon,,male,chinese,BS,,,,,463
2,P037,Pulau Pinang,Dato Kramat,Tuan,Lim Kean Siew,,male,chinese,BS - Buruh,,,,,465
2,,Singapore,Singapore,Dato',Lim Kim San,,male,chinese,PETIR,,,,,468
2,P006,Kedah,Alor Setar,Tuan,Lim Pee Hung,,male,chinese,Perikatan - MCA,,,,,472
2,,Sabah,Sabah,Tuan,Peter Lo Su Yin,,male,chinese,SCA,,,,,714
2,P008,Kedah,Kota Star Selatan,Dr.,Mahathir Bin Mohamad,,male,bumiputera,Perikatan - UMNO,,,,,500
2,P082,Negeri Sembilan,Port Dickson,Tuan,T. Mahima Singh,,male,indian,Perikatan - MIC,,,,,851
2,,Sabah,Sabah,Tuan,Joe Manjaji,,male,bumiputera,,,,,,378
2,P047,Perak,Kuala Kangsar,Dr. Haji,Megat Khas,,male,bumiputera,Perikatan - UMNO,,,,,523
2,P103,Johor,Segamat Utara,,Musa Bin Hitam,,male,bumiputera,Perikatan - UMNO,,,,,644
2,,Sabah,Sabah,Tuan,Mohd. Arif Salleh,,male,bumiputera,,,,,,598
2,P022,Kelantan,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,,male,bumiputera,PAS,,,,,540
2,,Sabah,Sabah,Orang Tua,Mohammad Dara Bin Langpad,,male,bumiputera,,,,,,579
2,P025,Terengganu,Besut,Tuan,Mohd. Daud Bin Abdul Samad,,male,bumiputera,PAS,,,,,600
2,P083,Negeri Sembilan,Jelebu,Tuan,Mohamed Idris Bin Matsil,,male,bumiputera,Perikatan - UMNO,,,,,554
2,P033,Pulau Pinang,Seberang Selatan,Tuan,Mohamed Noordin Bin Mastan,,male,bumiputera,Perikatan - UMNO,,,,death,562
2,P075,Selangor,Kuala Langat,Tuan,Mohd. Tahir Bin Abdul Majid,,male,bumiputera,Perikatan - UMNO,,,,,618
2,P063,Pahang,Temerloh,Tuan,Mohamed Yusof Bin Mahmud,,male,bumiputera,Perikatan - UMNO,,,,,575
2,P012,Kedah,Sungai Patani,Tuan,Mohd. Zahir Bin Haji Ismail,,male,bumiputera,Perikatan - UMNO,,,,,624
2,P029,Terengganu,Kemaman,Tuan,Wan Mokhtar Bin Ahmad,,male,bumiputera,Perikatan - UMNO,,,,,928
2,P002,Perlis,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,,male,bumiputera,Perikatan - UMNO,,,,,631
2,P017,Kelantan,Pasir Mas Hilir,Tuan,Muhammad Fakhruddin Bin Haji Abdullah,,male,bumiputera,PAS,,,,,639
2,,Sarawak,Sarawak,Tuan Haji,Muhammad Su'aut Bin Haji Muhd. Tahir,,male,bumiputera,,,,,,641
2,P077,Selangor,Sabak Bernam,Dato' Haji,Mustapha Bin Haji Abdul Jabar,,male,bumiputera,Perikatan - UMNO,,,,,648
