Nama,Jawatan_dalam_Kabinet,Tempat_Duduk,Parlimen,Kawasan,Negeri,No_Telefon,No_Faks,Email,Alamat_Surat-menyurat,Gambar,vol,Parti,Jawatan_dalam_Parlimen,Hubungi
YB Tuan Nga Kor Ming,,B-2,P076,Teluk Intan,Perak,03-88915012,05-2535803,ngakorming@kpkt.gov.my,"Pejabat YB Menteri,Kementerian Perumahan Dan Kerajaan Tempatan, Aras 18, No. 51, Persiaran Perdana, Presint 4, 62100 Putrajaya",/images/webuser/ahli/2022/P076.png,15.0,PH,,Menteri Perumahan Dan Kerajaan Tempatan
YB Dato' Seri Utama Haji Mohamad bin Haji Hasan,,B-3,P131,Rembau,Negeri Sembilan,03-88874503,03-88892855,mohamad.hasan@kln.gov.my,"Pejabat Menteri Kementerian Luar Negeri Malaysia, Kompleks Wisma Putra No. 1, Jalan Wisma Putra Persint 2, Pusat pentadbiran Kerajaan Persekutuan 62602 Putrajaya Malaysia",/images/webuser/ahli/2022/P131.png,15.0,BN,FB : Dato' Seri Utama Haji Mohamad Bin Haji Hasan  IG : mohamadhjhasan,Menteri Luar Negeri
YB Dato Sri Alexander Nanta Linggi,,B-4,P215,Kapit,Sarawak,03-27714036,03-27713288,alexlinggi@kkr.gov.my,"Kementerian Kerja Raya Malaysia, Tingkat 5, Blok A, Kompleks Kerja Raya, Jalan Sultan Salahudin, 50580 Kuala Lumpur.",/images/webuser/ahli/2022/P215.jpg,15.0,GPS,FB : //www.facebook.com/alexnantalinggi  Twitter : //twitter.com/alexnantalinggi  IG : //instagram.com/alexandernantalinggi,Menteri Kerja Raya
YB Dato' Seri Mohamed Khaled bin Nordin,,A-7,P156,Kota Tinggi,Johor,03-40121000,03-20714551,khaled.nordin@mod.gov.my,"Pejabat Menteri Pertahanan, Kementerian Pertahanan Tingkat 5, Wisma Pertahanan, Jalan Padang Tembak, 50634 Kuala Lumpur.",/images/webuser/ahli/2022/P156.png,15.0,BN,,Menteri Pertahanan
YB Tuan Chang Lih Kang,,A-9,P077,Tanjong Malim,Perak,03-88858008,03-88891818,changlihkang@mosti.gov.my,"Pejabat Menteri, Kementerian Sains, Teknologi Dan Inovasi, Blok C5 Aras 7, Kompleks C, Pusat Pentadbiran Kerajaan Persekutuan, 62662, Putrajaya, MALAYSIA",/images/webuser/ahli/2022/P077.jpg,15.0,PH,,"Menteri Sains, Teknologi dan Inovasi"
YB Dato' Sri Hajah Nancy binti Shukri,,B-8,P193,Santubong,Sarawak,03-8000 8000,-,nancyshukri@kpwkm.gov.my,"Kementerian Pembangunan Wanita, Keluarga dan Masyarakat, Aras 38, No.55, Persiaran Perdana,Presint 4, 62100 Putrajaya",/images/webuser/ahli/2022/santubong.jpg,15.0,GPS,,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat"
YB Dato' Sri Azalina binti Othman Said,,A-11,P157,Pengerang,Johor,03-88851001,03-88851947,ybaos63@jpm.gov.my,"Pejabat Menteri, Bahagian Hal Ehwal Undang-Undang (BHEUU), Aras 4-8, Bangunan Hal Ehwal Undang-Undang, Presint 3, Pusat Pentadbiran Kerajaan Persekutuan, 62692 Wilayah Persekutuan Putrajaya.",/images/webuser/ahli/2022/P157.png,15.0,BN,FB : Azalina Othman Said  Twitter : @AzalinaOthmanS  IG : Azalinaothmansaid,Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi)
YB Tuan Nik Nazmi bin Nik Ahmad,,A-10,P118,Setiawangsa,Kuala Lumpur,03-80917001,03-88891057,niknazmi@nres.gov.my,"Kementerian Sumber Asli dan Kelestarian Alam,  Aras 9, Blok F11, Kompleks F Lebuh Perdana Timur Pusat Pentadbiran Kerajaan Persekutuan 62000 Putrajaya.",/images/webuser/ahli/2022/P118.png,15.0,PH,FB : //www.facebook.com/niknazminikahmad  IG : //instagram.com/niknazminikahmad,Menteri Sumber Asli dan Kelestarian Alam
YB Datuk Ewon Benedick,,B-5,P174,Penampang,Sabah,03-8883 6002,03-8889 3775,ewonbenedick@kuskop.gov.my,"Pejabat Menteri, Kementerian Pembangunan Usahawan dan Koperasi, Blok E4/5, Kompleks Kerajaan Parcel E, Pusat Pentadbiran Kerajaan Persekutuan, 62668 Putrajaya Malaysia.",/images/webuser/ahli/2022/P174.png,15.0,PH,FB : Ewon Benedick Official Media  Twitter : @Ewon_media  IG : ewonbenedickofficialmedia,Menteri Pembangunan Usahawan dan Koperasi
YB Dato Sri Tiong King Sing,,A-16,P217,Bintulu,Sarawak,03-8891 7001,03-8891 7011,minister@motac.gov.my,"Pejabat Menteri, Kementerian Pelancongan, Seni dan Budaya, Aras 18, No. 2, Menara 1, Jalan P5/6, Presint 5, 62200 PUTRAJAYA",/images/webuser/ahli/2022/P217.png,15.0,GPS,,"Menteri Pelancongan, Seni dan Budaya"
YB Tuan Ahmad Fahmi bin Mohamed Fadzil,,B-7,P121,Lembah Pantai,Kuala Lumpur,03-89115114,03-89115099,fahmi@komunikasi.gov.my,"Pejabat Menteri, Kementerian Komunikasi, Aras 37, Lot 4G9 Persiaran Perdana, Presint 4, Pusat Pentadbiran Kerajaan Persekutuan, 62100 Putrajaya, Malaysia.",/images/webuser/ahli/2022/P121.png,15.0,PH,,Menteri Komunikasi
YB Puan Fadhlina binti Sidek,,A-12,P047,Nibong Tebal,Pulau Pinang,03-88846025,03-88895846,fadhlina.keadilan@gmail.com/pusatkhidmatnibongtebal@gmail.com,"Pejabat Menteri Pendidikan Aras 10 Blok E8,Kompleks E Pusat Pentadbiran Kerajaan Persekutuan, 62604 Wilayah Persekutuan Putrajaya",/images/webuser/ahli/2022/P047.jpg,15.0,PH,FB : //www.facebook.com/fadhlina.datosidek  Twitter : //twitter.com/FadhlinaSiddiq  IG : //www.instagram.com/fadhlinasidekcomms/,Menteri Pendidikan
YB Datuk Aaron Ago anak Dagang,,A-13,P210,Kanowit,Sarawak,03-8091 8201,-,aaron.ago@perpaduan.gov.my,"Pejabat Menteri, Kementerian Perpaduan Negara, Aras 5 - 10, Blok F9, Parcel F, Lebuh Perdana Timur, Presint 1, 62000 Putrajaya, Malaysia",/images/webuser/ahli/2022/P210.png,15.0,GPS,,Menteri Perpaduan Negara
YB Puan Hannah Yeoh Tseow Suan,,B-11,P117,Segambut,Kuala Lumpur,03-88713003,03-8888 8770,hannahyeoh@kbs.gov.my,"Pejabat Menteri Belia dan Sukan, Aras 17, Menara KBS Kementerian Belia dan Sukan, No 27 Persiaran Perdana, Presint 4, Pusat Pentadbiran Kerajaan Persekutuan,62570 Putrajaya",/images/webuser/ahli/2022/P117.png,15.0,PH,FB : www.facebook.com/hannahyeoh  Twitter : @hannahyeoh  IG : @hannahyeoh,Menteri Belia dan Sukan
YB Dr. Zaliha binti Mustafa,,B-12,P141,Sekijang,Johor,03-88923652,03-88880375,zaliha@jpm.gov.my,"Pejabat Menteri Jabatan Wilayah Persekutuan Kementerian Wilayah Aras 4, Blok 2, Menara Seri Wilayah Presint 2, 62100 Putrajaya",/images/webuser/ahli/2022/P141.jpg,15.0,PH,FB : @dr.zalihasekijang  Twitter : @Zaliha_DrZ  IG : Dr.Zaliha Mustafa,Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan)
YB Datuk Armizan bin Mohd Ali,,A-15,P175,Papar,Sabah,03-88825506,03-88825520,armizan@kpdn.gov.my,"Pejabat Menteri, Aras 13(Menara), Kementerian Perdagangan Dalam Negeri dan Kos Hidup(KPDN), No.13, Persiaran Perdana, Presint 2, 62623 PUTRAJAYA.",/images/webuser/ahli/2022/P175.png,15.0,GRS,FB : Armizan Mohd Ali  Twitter : ArmizanAmeer  IG : armizanameer,Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup
YB Datuk Seri Johari bin Abdul Ghani,,B-9,P119,Titiwangsa,Kuala Lumpur,03-88803307,,johari@kpk.gov.my,"PEJABAT MENTERI PERLADANGAN DAN KOMODITI, KEMENTERIAN PERLADANGAN DAN KOMODITI, No. 15, Level 13 Persiaran Perdana, Presint 2 62654 Putrajaya, MALAYSIA",/images/webuser/ahli/2022/P119.png,15.0,BN,FB : https;//www.facebook.com/joharighaniofficial  Twitter : //twitter.com/joharighani  IG : //instagram.com/joharighaniofficial,Menteri Perladangan dan Komoditi
YB Tuan Gobind Singh Deo,,B-10,P106,Damansara,Selangor,03-88805043,-,menteri@digital.gov.my,"PEJABAT MENTERI, KEMENTERIAN DIGITAL,ARAS 15, BLOK MENARA, MENARA USAHAWAN, NO.18, PERSIARAN PERDANA, PRESINT 2, PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN, 62000, PUTRAJAYA",/images/webuser/ahli/2022/P106.png,15.0,PH,,Menteri Digital
YB Datuk Seri Haji Dr. Dzulkefly bin Ahmad,,A-17,P096,Kuala Selangor,Selangor,03-88832501,03-88886188,dzulkefly.ahmad@moh.gov.my,"Pejabat Menteri Kesihatan, Aras 13, Blok E7, Kompleks E, Pusat Pentadbiran Kerajaan Persekutuan 62590 Putrajaya.",/images/webuser/ahli/2022/P096.png,15.0,PH,,Menteri Kesihatan
YB Tuan Sim Chee Keong,,A-19,P045,Bukit Mertajam,Pulau Pinang,03-88865001,03-88892390,steven.sim@mohr.gov.my,"Pejabat Menteri,  Kementerian Sumber Manusia Aras 8, Blok D3, Kompleks D Pusat Pentadbiran Kerajaan Persekutuan 62530 PUTRAJAYA",/images/webuser/ahli/2022/P045.jpg,15.0,PH,FB : facebook.com/stevensimck  Twitter : @scheekeong  IG : @scheekeong,Menteri Sumber Manusia
YB Datuk Seri Haji Ahmad bin Haji Maslan,,A-20,P164,Pontian,Johor,03-26189331,,ahmadmaslan@kkr.gov.my,"Pejabat Timbalan Menteri Kerja Raya Tingkat 5, Blok A, Kompleks Kerja Raya Jalan Sultan Salahuddin 50580 Kuala Lumpur",/images/webuser/ahli/2022/P164.png,15.0,BN,,Timbalan Menteri Kerja Raya
YB Datuk Hajah Rubiah binti Wang,,B-15,P197,Kota Samarahan,Sarawak,082-661368,082-661801,parlimenp197@gmail.com,"Pejabat Timbalan Menteri, Kementerian Kemajuan Desa Dan Wilayah,No 47, Persiaran Perdana, Presint 4, Pusat Pentadbiran Kerajaan Persekutuan, 62100 Putrajaya, Malaysia",/images/webuser/ahli/2022/P197.jpg,15.0,GPS,,Timbalan Menteri Kemajuan Desa dan Wilayah
YB Datuk Haji Hasbi bin Haji Habibollah,,B-13,P221,Limbang,Sarawak,03-8892 1106,03-8888 0158,hasbi@mot.gov.my,"Pejabat Menteri, Kementerian Pengangkutan Malaysia, No. 26, Jalan Tun Hussein, Presint 4, 62100 W.P. Putrajaya",/images/webuser/ahli/2022/P221.jpg,15.0,GPS,,Timbalan Menteri Pengangkutan
YB Datuk Chan Foong Hin,,B-14,P172,Kota Kinabalu,Sabah,03-88803337,03-88808248,chanfoonghin@kpk.gov.my,"PEJABAT TIMBALAN MENTERI, KEMENTERIAN PERLADANGAN DAN KOMODITI No. 15, Level 5-13 Persiaran Perdana, Presint 2 62654 Putrajaya, MALAYSIA",/images/webuser/ahli/2022/P172.jpg,15.0,PH,FB : ChanFoongHin  Twitter : mpchanfoongchin  IG : mpchanfoonghin,Timbalan Menteri Perladangan dan Komoditi
YB Dato Hajjah Hanifah Hajar Taib,,B-16,P213,Mukah,Sarawak,084-871216,084-871179,hanifah.taib@epu.gov.my,"Pusat Khidmat Masyarakat P.213 Mukah, Tingkat 2, Lot 1082 & 1085, Taman Boulevard Setiaraja,96400 Mukah, Sarawak.",/images/webuser/ahli/2022/P213.jpg,15.0,GPS,FB : www.facebook.com/hanifahtaib  Twitter : www.twitter.com/hanifahtaib  IG : www.instagram.com/hanifahhajartaib,Timbalan Menteri Ekonomi
YB Tuan Haji Akmal Nasrullah bin Mohd Nasir,,A-21,P160,Johor Bahru,Johor,03-88861614,,akmalnasir@petra.gov.my,"KEMENTERIAN PERALIHAN TENAGA DAN TRANSFORMASI AIR ( PETRA) , PEJABAT TIMBALAN MENTERI, ARAS 16, WISMA SUMBER ASLI,  NO 25, PERSIARAN PERDANA, PRESINT 4, 62574, PUTRAJAYA",/images/webuser/ahli/2022/P160.jpg,15.0,PH,FB : www.facebook.com/akmalnasir.my  Twitter : twitter.com/akmalnasir  IG : instagram.com/akmalnasir.my,Timbalan Menteri Peralihan Tenaga dan Transformasi Air
YB Tuan Haji Adly bin Zahari,,A-22,P135,Alor Gajah,Melaka,03-4012 2000,03-2071 4961,adly.zahari@mod.gov.my,"Pejabat Timbalan Menteri Pertahanan, Kementerian Pertahanan Malaysia, Jalan Padang Tembak, 50634 Kuala Lumpur, Malaysia",/images/webuser/ahli/2022/P135.jpg,15.0,PH,FB : AdlyZahariOfficial  Twitter : @adlyzahari_n17  IG : adlyzahariofficial,Timbalan Menteri Pertahanan
YB Dato' Sri Abdul Rahman bin Haji Mohamad,,A-23,P079,Lipis,Pahang,03-8000 8000,03-8889 2394,abdulrahman@mohr.gov.my,"Pejabat Timbalan Menteri, Kementerian Sumber Manusia Aras 8, Blok D3, Kompleks D Pusat Pentadbiran Kerajaan Persekutuan 62530 PUTRAJAYA",/images/webuser/ahli/2022/P079.png,15.0,BN,,Timbalan Menteri Sumber Manusia
YB Datuk Seri Dr. Shamsul Anuar bin Haji Nasarah,,A-24,P055,Lenggong,Perak,03-8886 8625,03-88891613,shamsulanuar@moha.gov.my,"Pejabat Timbalan Menteri Dalam Negeri, Blok D1, D2 & D9, Kompleks D, Pusat Pentadbiran,Kerajaan Persekutuan, 62546 Putrajaya",/images/webuser/ahli/2022/P055.png,15.0,BN,,Timbalan Menteri Dalam Negeri
YB Tuan Liew Chin Tong,,A-25,P162,Iskandar Puteri,Johor,03-62000021,03-6026 4693,liewchintong@miti.gov.my,"Pejabat Timbalan Menteri, Kementerian Pelaburan, Perdagangan dan Industri Menara MITI, No.7, Jalan Sultan Haji Ahmad Shah, 50480 Kuala Lumpur, Malaysia.",/images/webuser/ahli/2022/P162.jpg,15.0,PH,FB : www.facebook.com/liewchintong.my  Twitter : www.twitter.com@LiewChinTong  IG : www.instagram.com/ chintong.liew,"Timbalan Menteri Pelaburan, Perdagangan dan Industri"
YB Dato' Mohammad Yusof bin Apdal,,B-17,P188,Lahad Datu,Sabah,03-8885 8001,03-8889 1818,yusof.apdal@mosti.gov.my,"Pejabat Timbalan Menteri, Kementerian Sains, Teknologi Dan Inovasi Aras 7, C5, Kompleks C, Pusat Pentadbiran Kerajaan Persekutuan, 62662 Putrajaya, MALAYSIA",/images/webuser/ahli/2022/P188.png,15.0,WARISAN,,"Timbalan Menteri Sains, Teknologi dan Inovasi"
YB Datuk Arthur Joseph Kurup,,B-18,P182,Pensiangan,Sabah,03-88701012,03-8888 8960,arthur@kpkm.gov.my,"Pejabat Timbalan Menteri, Kementerian Pertanian dan Keterjaminan Makanan Wisma Tani,No. 28, Persiaran Perdana, Presint 4, Pusat Pentadbiran Kerajaan Persekutuan, 62624 Putrajaya, Malaysia.",/images/webuser/ahli/2022/P182.png,15.0,BN,FB : ArthurJosephKurup  Twitter : ArthurJKurup  IG : ArthurJKurup,Timbalan Menteri Pertanian dan Keterjaminan Makanan
YB Datuk Hajah Raj Munni binti Sabu,,B-19,P113,Sepang,Selangor,03-8891 5027,03-8891 5559,aimanathirah@kpkt.gov.my,"Pejabat Timbalan Menteri, Kementerian Pembangunan Kerajaan Tempatan, Aras 17, No. 51, Persiaran Perdana, Presint 4, 62100 Putrajaya",/images/webuser/ahli/2022/YB Sepang.png,15.0,PH,FB : Aiman Athirah Sabu  Twitter : al_jundiathirah  IG : aimanathirah,Timbalan Menteri Perumahan Dan Kerajaan Tempatan
YB Dato' Sri Huang Tiong Sii,,B-21,P208,Sarikei,Sarawak,03-8091 7010,,huang@nres.gov.my,"Kementerian Sumber Asli dan Kelestarian Alam Aras 9, Blok F11, Kompleks F Lebuh Perdana Timur Pusat Pentadbiran Kerajaan Persekutuan 62000 Putrajaya.",/images/webuser/ahli/2022/P208.jpg,15.0,GPS,,Timbalan Menteri Sumber Asli dan Kelestarian Alam
YB Datuk Mohamad bin Alamin,,C-1,P176,Kimanis,Sabah,03-8887 4005,03-8889 2826,mohamadalamin@kln.gov.my,"Pejabat Timbalan Menteri, Kementerian Luar Negeri, Malaysia, Wisma Putra, No 1, Jalan Wisma Putra Presint 2, 62602 PUTRAJAYA",/images/webuser/ahli/2022/P176.png,15.0,BN,,Timbalan Menteri Luar Negeri
YB Tuan Khairul Firdaus bin Akbar Khan,,C-2,P185,Batu Sapi,Sabah,03-88917002,03-88917012,k.firdaus@motac.gov.my,"Pejabat Timbalan Menteri, Kementerian Pelancongan, Seni dan Budaya, Aras 17, No. 2, Menara 1, Jalan P5/6, Presint 5, 62200 PUTRAJAYA",/images/webuser/ahli/2022/P185.png,15.0,GRS,FB : khairul Firdaus,"Timbalan Menteri Pelancongan, Seni dan Budaya"
YB Puan Teo Nie Ching,,C-3,P163,Kulai,Johor,03-8911 5223,03-8911 5208,teonieching@komunikasi.gov.my,"Pejabat Timbalan Menteri, Kementerian Komunikasi, Aras 36, Lot 4G9, Persiaran Perdana, Presint 4 Pusat Pentadbiran Kerajaan Persekutuan, 62100, Putrajaya",/images/webuser/ahli/2022/P163.png,15.0,PH,FB : www.facebook.com/TeoNieChing  Twitter : @TeoNieChing  IG : @TeoNieChing,Timbalan Menteri Komunikasi
YB Puan Lim Hui Ying,,C-4,P049,Tanjong,Pulau Pinang,03-8882 8968,03-8882 3918,lim.huiying@mof.gov.my,"PEJABAT TIMBALAN MENTERI KEWANGAN Kementerian Kewangan, Aras 11, Blok Tengah, Kompleks Kementerian Kewangan, Presint 2, Pusat Pentadbiran Kerajaan Persekutuan, 62592 WP PUTRAJAYA.",/images/webuser/ahli/2022/P049.jpg,15.0,PH,FB : @DAPLimHui Ying  IG : @lhuiying.dap,Timbalan Menteri Kewangan
YB Tuan Adam Adli bin Abd Halim,,C-5,P137,Hang Tuah Jaya,Melaka,03-8000 8000,-,adamadli@kbs.gov.my,"Pejabat Timbalan Menteri Belia dan Sukan, Aras 16, Menara KBS, Kementerian Belia dan Sukan, No 27, Persiaran Perdana, Presint 4, 62570, Putrajaya, Malaysia",/images/webuser/ahli/2022/P137.jpg,15.0,PH,FB : facebook.com/adamadli2  Twitter : @AdamAdli  IG : @adamadli_,Timbalan Menteri Belia dan Sukan
YB Datuk Ts. Mustapha Sakmud,,C-6,P171,Sepanggar,Sabah,03-88705031,03-88706027,mustaphasakmud@mohe.gov.my,"Pejabat Timbalan Menteri, Kementerian Pendidikan Tinggi, Aras 17, No. 2, Menara 2, Jalan P5/6, Presint 5, 62200 W.P. Putrajaya",/images/webuser/ahli/2022/P171.jpg,15.0,PH,FB : Mustapha Sakmud  Twitter : mustaphasakmud  IG : mustaphasakmu,Timbalan Menteri Pendidikan Tinggi
YB Dato Lukanisman bin Awang Sauni,,C-7,P218,Sibuti,Sarawak,03-8883 2503,03-8888 6187,sibuti@gmail.com,"Pejabat Timbalan Menteri, Kementerian Kesihatan Malaysia, Kompleks E, Blok E1, E3, E6, E7 & E10, Pusat Pentadbiran Kerajaan Persekutuan, 62590, 62000 Putrajaya, Wilayah Persekutuan Putrajaya",/images/webuser/ahli/2022/P218.jpg,15.0,GPS,FB : Luka Nis Man  Twitter : @lukanisman,Timbalan Menteri Kesihatan
YB Datuk Ugak anak Kumbong,,C-8,P216,Hulu Rajang,Sarawak,03-88805097,03-88805031,wilson@digital.gov.my,"PEJABAT TIMBALAN MENTERI, KEMENTERIAN DIGITAL,ARAS 13, BLOK MENARA, MENARA USAHAWAN, NO.18, PERSIARAN PERDANA, PRESINT 2, PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN, 62000, PUTRAJAYA",/images/webuser/ahli/2022/P216.jpg,15.0,GPS,FB : //www.facebook.com/PKP.216HR,Timbalan Menteri Digital
YB Tuan M.Kulasegaran a/l V.Murugeson,,C-10,P065,Ipoh Barat,Perak,05-2421470/011-2379104,05-2421470,kulasegaran@jpm.gov.my,"PEJABAT TIMBALAN MENTERI BAHAGIAN HAL EHWAL UNDANG-UNDANG Aras 4-8, Bangunan Hal Ehwal Undang-Undang, Presint 3, Pusat Pentadbiran Kerajaan Persekutuan 62692 Putrajaya",/images/webuser/ahli/2022/P065.png,15.0,PH,FB : facebook.com/KulaSegaran065  Twitter : twitter.com/mkula  IG : instagram.com/ mkulasegaran,Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi)
YB Datuk Seri Dr. Noraini binti Ahmad,,C-9,P147,Parit Sulong,Johor,03-8323 1002,03-8323 2002,norainiahmad@kpwkm.gov.my,"Pejabat Timbalan Menteri, Kementerian Pembangunan Wanita, Keluarga dan Masyarakat (KPWKM), Aras 37, No. 55, Persiaran Perdana Presint 4, 62100 Putrajaya, MALAYSIA",/images/webuser/ahli/2022/P147.png,15.0,BN,,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat"
YB Dato' Sri Ramanan Ramakrishnan,,C-11,P107,Sungai Buloh,Selangor,03-8883 6001,03-88893130,ramanan@kuskop.gov.my,"Pejabat Timbalan Menteri, Kementerian Pembangunan Usahawan dan Koperasi, Aras 6, Blok E4/5, Kompleks E, Pusat Pentadbiran Kerajaan Persekutuan, 62668 Putrajaya, Malaysia.",/images/webuser/ahli/2022/P107.jpg,15.0,PH,FB : m.facebook.com/DatoRamanan  Twitter : @datoramanan  IG : ramanan_dr,Timbalan Menteri Pembangunan Usahawan dan Koperasi
YB Tuan Wong Kah Woh,,C-12,P060,Taiping,Perak,03-8884 6040,03-88894215,wongkahwoh@moe.gov.my,"Pejabat Timbalan Menteri Pendidikan, Aras 9 Blok E8, Kompleks E Pusat Pentadbiran Kerajaan Persekutuan, 62604 Wilayah Persekutuan Putrajaya",/images/webuser/ahli/2022/P060.jpg,15.0,PH,FB : facebook.com/wongkahwoh  Twitter : wongkahwoh  IG : kahwoh.wong,Timbalan Menteri Pendidikan
YB Dr. Mohammed Taufiq bin Johari,,C-52,P015,Sungai Petani,Kedah,04-4317366,04-4317351,mtaufiqjohari@gmail.com,"A23, Jalan Meranti 1, Taman Desa Meranti Indah, 08000 Sungai Petani, Kedah",/images/webuser/ahli/2022/P015.jpg,15.0,PH,FB : Taufiq johari  Twitter : @taufiqjohari  IG : @taufiqjohari,
YB Tuan Lim Guan Eng,,D-3,P043,Bagan,Pulau Pinang,04-3136525,04-3136526,bagan@dappg.org,"Pusat Khidmat Ahli Parlimen Bagan, 6779, Jalan Kampung Gajah, 12200 Butterworth, Pulau Pinang.",/images/webuser/ahli/2022/P043.jpg,15.0,PH,FB : //m.facebook.com/limguaneng.malaysia  Twitter : www.twitter.com/guanenglim  IG : //www.instagram.com/limguaneng,
YB Tuan Chow Kon Yeow,,D-11,P046,Batu Kawan,Pulau Pinang,04-2614424,04-2645854,chowkonyeow@penang.gov.my,"Seri Teratai,324, Jalan Macalister,10450 Pulau Pinang.",/images/webuser/ahli/2022/P046.png,15.0,PH,FB : chowkonyeow  Twitter : @chowkonyeow  IG : chow kon yeow,
YB Puan Syerleena binti Abdul Rashid,,C-39,P048,Bukit Bendera,Pulau Pinang,04-892 0048,-,48bukitbendera@gmail.com,"Pusat Khidmat Rakyat Parlimen Bukit Bendera, 7A, Medan Fettes, 11200 Tanjong Bungah, Pulau Pinang",/images/webuser/ahli/2022/P048.jpg,15.0,PH,FB : syerleena.abdrashid  Twitter : @syerleena  IG : syerleena.abdrashid,
