vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15.0,P046,Pulau Pinang,Batu Kawan,2665.0,YB Tuan,Chow Kon Yeow,1958.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P046.png
15.0,P048,Pulau Pinang,Bukit Bendera,4596.0,YB Puan,Syerleena binti Abdul Rashid,1980.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P048.jpg
15.0,P050,Pulau Pinang,Jelutong,4604.0,YB Tuan,Sanisvara Nethaji Rayer a/l Rajaji,1971.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P050.jpg
15.0,P051,Pulau Pinang,Bukit Gelugor,4080.0,YB Tuan,Ramkarpal Singh a/l Karpal Singh,1976.0,male,other,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P051.png
15.0,P052,Pulau Pinang,Bayan Baru,3712.0,YB Tuan,Sim Tze Tzin,1976.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P052.jpg
15.0,P053,Pulau Pinang,Balik Pulau,3715.0,YB Dato',Muhammad Bakhtiar bin Wan Chik,1965.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P053.jpg
15.0,P062,Perak,Sungai Siput,4102.0,YB Tuan,Kesavan a/l Subramaniam,1972.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P062.jpg
15.0,P064,Perak,Ipoh Timor,4657.0,YB Tuan,Lee Chuan How,1983.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P064.jpg
15.0,P066,Perak,Batu Gajah,3733.0,YB Tuan,Sivakumar a/l Varatharaju Naidu,1971.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P066.png
15.0,P068,Perak,Beruas,4666.0,YB Dato',Ngeh Koo Ham,1961.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P068.jpg
15.0,P070,Perak,Kampar,4674.0,YB Tuan,Chong Zhemin,1985.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P070.jpg
15.0,P071,Perak,Gopeng,4678.0,YB Tuan,Tan Kar Hing,1982.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P071.jpg
15.0,P080,Pahang,Raub,4713.0,YB Tuan,Chow Yu Hui,1983.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P080.jpg
15.0,P089,Pahang,Bentong,4749.0,YB Puan,Young Syefura binti Othman,1989.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P089.jpg
15.0,P097,Selangor,Selayang,3427.0,YB Tuan,William Leong Jee Keen,1957.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P097.png
15.0,P098,Selangor,Gombak,4785.0,YAB Dato' Seri,Amirudin bin Shari,1980.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P098.png
15.0,P099,Selangor,Ampang,4789.0,YB Puan Hajah,Rodziah binti Ismail,1964.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P099.jpg
15.0,P101,Selangor,Hulu Langat,4799.0,YB Tuan,Mohd Sany bin Hamzan,1977.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P101.jpg
15.0,P102,Selangor,Bangi,4810.0,YB Tuan,Syahredzan bin Johan,1983.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P102.jpg
15.0,P103,Selangor,Puchong,4263.0,YB Puan,Yeo Bee Yin,1983.0,female,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P103.png
15.0,P104,Selangor,Subang,3786.0,YB Tuan,Wong Chen,1969.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P104.jpg
15.0,P105,Selangor,Petaling Jaya,4821.0,YB Tuan,Lee Chean Chung,1981.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P105.jpg
15.0,P108,Selangor,Shah Alam,4829.0,YB Tuan Haji,Azli bin Yusof,1967.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P108.jpg
15.0,P110,Selangor,Klang,4844.0,YB Tuan,Ganabatirau a/l Veraman,1973.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P110.jpg
15.0,P114,Kuala Lumpur,Kepong,3456.0,YB Tuan,Lim Lip Eng,1972.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P114.jpg
15.0,P115,Kuala Lumpur,Batu,4207.0,YB Tuan,Prabakaran a/l M Parameswaran,1996.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P115.png
15.0,P116,Kuala Lumpur,Wangsa Maju,4876.0,YB Tuan Ir. Ts.,Zahir bin Hassan,1959.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P116.jpg
15.0,P120,Kuala Lumpur,Bukit Bintang,2128.0,YB Tuan,Fong Kui Lun,1946.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P120.png
15.0,P122,Kuala Lumpur,Seputeh,2769.0,YB Puan,Teresa Kok Suh Sim,1964.0,female,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P122.jpg
15.0,P123,Kuala Lumpur,Cheras,1825.0,YB Tuan,Tan Kok Wai,1957.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P123.jpg
15.0,P124,Kuala Lumpur,Bandar Tun Razak,4901.0,YB Dato' Seri Dr.,Wan Azizah binti Dr. Wan Ismail,1952.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P124.png
15.0,P130,Negeri Sembilan,Rasah,4238.0,YB Tuan,Cha Kee Chin,1974.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P130.jpg
15.0,P132,Negeri Sembilan,Port Dickson,4933.0,YAB Dato' Seri,Aminuddin bin Harun,1967.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/PD.png
15.0,P138,Melaka,Kota Melaka,4252.0,YB Tuan,Khoo Poay Tiong,1971.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P138.jpg
15.0,P140,Johor,Segamat,4962.0,YB Tuan,Yuneswaran a/l Ramaraj,1986.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P140.jpg
15.0,P142,Johor,Labis,3148.0,YB Tuan,Pang Hok Liong,1957.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P142.jpg
15.0,P144,Johor,Ledang,4261.0,YB Tuan,Syed Ibrahim bin Syed Noh,1964.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P144.jpg
15.0,P145,Johor,Bakri,4978.0,YB Tuan,Tan Hong Pin,1981.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P145.jpg
15.0,P149,Johor,Sri Gading,4986.0,YB Tuan Haji,Aminolhuda bin Hassan,1959.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P149.jpg
15.0,P150,Johor,Batu Pahat,3859.0,YB Tuan Haji,Onn bin Abu Bakar,1963.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P150.jpg
15.0,P152,Johor,Kluang,4278.0,YB Puan,Wong Shu Qi,1983.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P152.jpg
15.0,P158,Johor,Tebrau,5015.0,YB Tuan,Jimmy Puah Wee Tse,1976.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P158.jpg
15.0,P159,Johor,Pasir Gudang,1860.0,YB Tuan,Hassan bin Abdul Karim,1951.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P159.jpg
15.0,P161,Johor,Pulai,5026.0,YB Tuan,Suhaizan bin Kaiat,1961.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2023/P161.jpg
15.0,P170,Sabah,Tuaran,5055.0,YB Datuk Seri Panglima,Madius bin Tangau,1958.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P170.png
15.0,P186,Sabah,Sandakan,5131.0,YB Puan,Vivian Wong Shir Yee,1989.0,female,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P186.png
15.0,P192,Sarawak,Mas Gading,5153.0,YB Tuan,Mordi anak Bimol,1985.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P192.png
15.0,P195,Sarawak,Bandar Kuching,4367.0,YB Dr.,Kelvin Yii Lee Wuen,1986.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P195.png
15.0,P196,Sarawak,Stampin,2874.0,YB Tuan Chong Chieng Jen,,1971.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P196.png
15.0,P212,Sarawak,Sibu,3969.0,YB Tuan,Oscar Ling Chai Yew,1977.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P212.jpg
15.0,P219,Sarawak,Miri,5212.0,YB Tuan,Chiew Choon Man,1991.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P219.jpg
15.0,P072,Perak,Tapah,4683.0,YB Datuk Seri,Saravanan a/l Murugan,1968.0,male,indian,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P072.png
15.0,P084,Pahang,Paya Besar,4730.0,YB Dato' Indera,Mohd Shahar bin Abdullah,1980.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P084.png
15.0,P085,Pahang,Pekan,4731.0,YB Dato' Sri,Sh Mohmed Puzi bin Sh Ali,1957.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P085.png
15.0,P090,Pahang,Bera,3061.0,YB Dato' Sri,Ismail Sabri bin Yaakob,1960.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/YB Bera.jpg
15.0,P126,Negeri Sembilan,Jelebu,4227.0,YB Datuk Seri,Jalaluddin bin Alias,1963.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P126.jpg
15.0,P127,Negeri Sembilan,Jempol,4914.0,YB Dato' Haji,Shamshulkahar bin Mohd Deli,1961.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P127.jpg
15.0,P129,Negeri Sembilan,Kuala Pilah,4922.0,YB Dato',Adnan bin Abu Hassan,1970.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P129.jpg
15.0,P133,Negeri Sembilan,Tampin,4934.0,YB Dato',Mohd Isam bin Mohd Isa,1969.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P133.jpg
15.0,P148,Johor,Ayer Hitam,3502.0,YB Datuk Seri Ir. Dr.,Wee Ka Siong,1968.0,male,chinese,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P148.png
15.0,P151,Johor,Simpang Renggam,4997.0,YB Datuk Seri Utama Ir.,Hasni bin Mohammad,1959.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P151.png
15.0,P153,Johor,Sembrong,3510.0,YB Dato' Seri,Hishammuddin bin Datuk Hussein,1961.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P153.png
15.0,P155,Johor,Tenggara,5007.0,YB Tuan Haji,Manndzri bin Haji Nasib,1980.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P155.jpg
15.0,P165,Johor,Tanjung Piai,3529.0,YB Dato' Sri Dr.,Wee Jeck Seng,1964.0,male,chinese,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P165.png
15.0,P173,Sabah,Putatan,5070.0,YB Datuk Ir.,Shahelmey bin Yahya,1973.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P173.jpg
15.0,P177,Sabah,Beaufort,5091.0,YB Datuk Hajah,Siti Aminah binti Aching,1962.0,female,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P177.jpg
15.0,P184,Sabah,Libaran,5122.0,YB Datuk,Suhaimi bin Nasir,1968.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P184.png
15.0,P187,Sabah,Kinabatangan,5135.0,YB Datuk Seri Panglima,Moktar bin Radin,1959.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P187.png
15.0,P191,Sabah,Kalabakan,5148.0,YB Datuk,Andi Muhammad Suryady bin Bandy,1981.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P191.jpg
15.0,P198,Sarawak,Puncak Borneo,5162.0,YB Datuk,Willie anak Mongin,1975.0,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P198.jpg
15.0,P199,Sarawak,Serian,5166.0,YB Dato' Sri Dr.,Richard Riot anak Jaem,1951.0,male,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P199.jpg
15.0,P200,Sarawak,Batang Sadong,5169.0,YB Puan,Rodiyah binti Sapiee,1978.0,female,bumiputera,GPS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P200.jpg
